dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.912225,24.837612,5.952363,7.768114,0.347278,-0.041900,0.175964
0.010000,5.988733,24.851256,6.030079,7.771582,0.346864,-0.041337,0.176998
0.010000,6.065262,24.864985,6.107829,7.775047,0.346457,-0.040712,0.178001
0.010000,6.141812,24.878795,6.185614,7.778507,0.346057,-0.040064,0.178974
0.010000,6.218382,24.892685,6.263434,7.781964,0.345663,-0.039382,0.179917
0.010000,6.294973,24.906652,6.341288,7.785417,0.345277,-0.038593,0.180830
0.010000,6.371585,24.920694,6.419177,7.788866,0.344899,-0.037813,0.181712
0.010000,6.448219,24.934808,6.497100,7.792311,0.344529,-0.036997,0.182565
0.010000,6.524875,24.948993,6.575057,7.795753,0.344168,-0.036076,0.183387
0.010000,6.601554,24.963247,6.653049,7.799191,0.343816,-0.035211,0.184180
0.010000,6.678255,24.977566,6.731076,7.802626,0.343474,-0.034207,0.184942
0.010000,6.754979,24.991949,6.809136,7.806057,0.343141,-0.033253,0.185675
0.010000,6.831726,25.006393,6.887231,7.809485,0.342819,-0.032214,0.186378
0.010000,6.908498,25.020896,6.965360,7.812910,0.342508,-0.031148,0.187050
0.010000,6.985293,25.035456,7.043523,7.816332,0.342207,-0.030085,0.187693
0.010000,7.062112,25.050071,7.121721,7.819752,0.341917,-0.028943,0.188306
0.010000,7.138957,25.064739,7.199953,7.823168,0.341639,-0.027798,0.188890
0.010000,7.215827,25.079456,7.278218,7.826582,0.341373,-0.026630,0.189443
0.010000,7.292722,25.094221,7.356518,7.829993,0.341119,-0.025437,0.189967
0.010000,7.369643,25.109032,7.434852,7.833402,0.340877,-0.024197,0.190461
0.010000,7.446590,25.123886,7.513220,7.836808,0.340647,-0.022954,0.190925
0.010000,7.523565,25.138781,7.591623,7.840213,0.340430,-0.021688,0.191360
0.010000,7.600566,25.153715,7.670059,7.843615,0.340226,-0.020399,0.191764
0.010000,7.677595,25.168685,7.748529,7.847015,0.340036,-0.019091,0.192139
0.010000,7.754652,25.183690,7.827033,7.850414,0.339858,-0.017765,0.192485
0.010000,7.831737,25.198726,7.905571,7.853811,0.339694,-0.016424,0.192801
0.010000,7.908851,25.213793,7.984143,7.857206,0.339543,-0.015068,0.193087
0.010000,7.985994,25.228886,8.062749,7.860600,0.339406,-0.013697,0.193344
0.010000,8.063167,25.244005,8.141389,7.863993,0.339283,-0.012314,0.193571
0.010000,8.140370,25.259147,8.220063,7.867385,0.339174,-0.010922,0.193768
0.010000,8.217604,25.274309,8.298771,7.870775,0.339078,-0.009520,0.193936
0.010000,8.294868,25.289490,8.377512,7.874165,0.338997,-0.008109,0.194074
0.010000,8.372164,25.304687,8.456288,7.877555,0.338930,-0.006690,0.194183
0.010000,8.449491,25.319898,8.535097,7.880944,0.338878,-0.005266,0.194262
0.010000,8.526851,25.335120,8.613941,7.884332,0.338839,-0.003838,0.194311
0.010000,8.604244,25.350351,8.692818,7.887720,0.338815,-0.002405,0.194331
0.010000,8.681670,25.365590,8.771729,7.891108,0.338806,-0.000971,0.194321
0.010000,8.759129,25.380833,8.850674,7.894496,0.338810,0.000464,0.194282
0.010000,8.836623,25.396078,8.929653,7.897885,0.338829,0.001898,0.194213
0.010000,8.914151,25.411323,9.008666,7.901273,0.338863,0.003331,0.194115
0.010000,8.991714,25.426567,9.087712,7.904662,0.338910,0.004761,0.193987
0.010000,9.069312,25.441805,9.166793,7.908052,0.338972,0.006187,0.193829
0.010000,9.146946,25.457037,9.245907,7.911442,0.339048,0.007607,0.193642
0.010000,9.224617,25.472260,9.325055,7.914834,0.339138,0.009021,0.193425
0.010000,9.302324,25.487471,9.404238,7.918226,0.339243,0.010427,0.193179
0.010000,9.380069,25.502668,9.483454,7.921620,0.339361,0.011823,0.192903
0.010000,9.457852,25.517849,9.562704,7.925015,0.339493,0.013209,0.192598
0.010000,9.535672,25.533012,9.641988,7.928411,0.339639,0.014583,0.192262
0.010000,9.613532,25.548154,9.721306,7.931809,0.339798,0.015944,0.191897
0.010000,9.691430,25.563273,9.800658,7.935209,0.339971,0.017291,0.191503
