dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,5.363399,22.419298,5.391896,8.053843,-0.352506,0.043975,0.161191
0.010000,5.442850,22.432274,5.472400,8.050322,-0.352064,0.044178,0.162590
0.010000,5.522248,22.445354,5.552868,8.046806,-0.351621,0.044314,0.163959
0.010000,5.601593,22.458536,5.633301,8.043295,-0.351177,0.044336,0.165297
0.010000,5.680886,22.471817,5.713698,8.039787,-0.350734,0.044296,0.166604
0.010000,5.760128,22.485195,5.794061,8.036284,-0.350292,0.044250,0.167880
0.010000,5.839318,22.498667,5.874389,8.032786,-0.349851,0.044071,0.169127
0.010000,5.918457,22.512230,5.954682,8.029292,-0.349413,0.043853,0.170342
0.010000,5.997545,22.525882,6.034940,8.025802,-0.348977,0.043574,0.171527
0.010000,6.076583,22.539621,6.115163,8.022316,-0.348545,0.043236,0.172682
0.010000,6.155571,22.553444,6.195352,8.018835,-0.348116,0.042840,0.173807
0.010000,6.234510,22.567349,6.275505,8.015358,-0.347692,0.042388,0.174901
0.010000,6.313399,22.581332,6.355624,8.011886,-0.347274,0.041873,0.175964
0.010000,6.392239,22.595393,6.435708,8.008417,-0.346860,0.041319,0.176998
0.010000,6.471031,22.609527,6.515758,8.004952,-0.346453,0.040725,0.178001
0.010000,6.549774,22.623733,6.595773,8.001492,-0.346053,0.040057,0.178974
0.010000,6.628470,22.638009,6.675753,7.998035,-0.345659,0.039327,0.179917
0.010000,6.707119,22.652351,6.755699,7.994583,-0.345273,0.038615,0.180830
0.010000,6.785721,22.666758,6.835610,7.991134,-0.344895,0.037806,0.181712
0.010000,6.864277,22.681226,6.915487,7.987688,-0.344526,0.036947,0.182565
0.010000,6.942786,22.695754,6.995329,7.984247,-0.344164,0.036115,0.183387
0.010000,7.021250,22.710339,7.075138,7.980809,-0.343813,0.035145,0.184180
0.010000,7.099669,22.724979,7.154911,7.977374,-0.343471,0.034242,0.184942
0.010000,7.178043,22.739671,7.234651,7.973943,-0.343138,0.033214,0.185675
0.010000,7.256373,22.754413,7.314356,7.970514,-0.342816,0.032205,0.186378
0.010000,7.334660,22.769203,7.394027,7.967089,-0.342505,0.031157,0.187050
0.010000,7.412902,22.784038,7.473663,7.963667,-0.342204,0.030041,0.187693
0.010000,7.491102,22.798915,7.553266,7.960248,-0.341915,0.028946,0.188306
0.010000,7.569260,22.813833,7.632834,7.956832,-0.341637,0.027795,0.188890
0.010000,7.647375,22.828789,7.712368,7.953418,-0.341371,0.026615,0.189443
0.010000,7.725449,22.843780,7.791868,7.950007,-0.341117,0.025407,0.189967
0.010000,7.803481,22.858805,7.871334,7.946598,-0.340875,0.024198,0.190461
0.010000,7.881473,22.873861,7.950766,7.943192,-0.340645,0.022946,0.190925
0.010000,7.959425,22.888945,8.030164,7.939787,-0.340429,0.021675,0.191360
0.010000,8.037337,22.904055,8.109528,7.936385,-0.340225,0.020386,0.191764
0.010000,8.115210,22.919190,8.188858,7.932985,-0.340034,0.019078,0.192139
0.010000,8.193044,22.934346,8.268154,7.929586,-0.339856,0.017753,0.192485
0.010000,8.270840,22.949521,8.347416,7.926189,-0.339692,0.016412,0.192801
0.010000,8.348598,22.964713,8.426644,7.922794,-0.339542,0.015055,0.193087
0.010000,8.426318,22.979920,8.505838,7.919400,-0.339405,0.013686,0.193344
0.010000,8.504001,22.995139,8.584998,7.916007,-0.339282,0.012305,0.193571
0.010000,8.581648,23.010367,8.664124,7.912615,-0.339173,0.010911,0.193768
0.010000,8.659259,23.025604,8.743216,7.909224,-0.339078,0.009508,0.193936
0.010000,8.736834,23.040846,8.822274,7.905835,-0.338997,0.008097,0.194074
0.010000,8.814374,23.056091,8.901299,7.902445,-0.338930,0.006679,0.194183
0.010000,8.891879,23.071336,8.980289,7.899056,-0.338877,0.005255,0.194262
0.010000,8.969351,23.086580,9.059246,7.895668,-0.338839,0.003826,0.194311
0.010000,9.046788,23.101821,9.138169,7.892280,-0.338815,0.002394,0.194331
0.010000,9.124192,23.117055,9.217058,7.888892,-0.338806,0.000960,0.194321
0.010000,9.201563,23.132280,9.295913,7.885504,-0.338810,-0.000475,0.194282
0.010000,9.278902,23.147495,9.374734,7.882115,-0.338829,-0.001910,0.194213
0.010000,9.356209,23.162697,9.453521,7.878727,-0.338863,-0.003343,0.194115
0.010000,9.433484,23.177884,9.532275,7.875338,-0.338911,-0.004772,0.193987
0.010000,9.510728,23.193053,9.610994,7.871948,-0.338973,-0.006198,0.193829
0.010000,9.587941,23.208202,9.689680,7.868558,-0.339049,-0.007619,0.193642
0.010000,9.665125,23.223329,9.768331,7.865166,-0.339139,-0.009032,0.193425
0.010000,9.742278,23.238432,9.846949,7.861774,-0.339243,-0.010438,0.193179
0.010000,9.819402,23.253508,9.925533,7.858380,-0.339362,-0.011835,0.192903
0.010000,9.896497,23.268555,10.004083,7.854985,-0.339494,-0.013221,0.192598
0.010000,9.973564,23.283571,10.082599,7.851589,-0.339640,-0.014595,0.192262
0.010000,10.050603,23.298553,10.161081,7.848191,-0.339800,-0.015956,0.191897
0.010000,10.127613,23.313500,10.239529,7.844791,-0.339973,-0.017303,0.191503
0.010000,10.204597,23.328409,10.317942,7.841389,-0.340159,-0.018634,0.191079
0.010000,10.281554,23.343277,10.396322,7.837986,-0.340358,-0.019948,0.190625
0.010000,10.358484,23.358103,10.474668,7.834580,-0.340571,-0.021244,0.190141
0.010000,10.435388,23.372884,10.552980,7.831172,-0.340796,-0.022514,0.189628
0.010000,10.512266,23.387618,10.631257,7.827762,-0.341034,-0.023777,0.189084
0.010000,10.589119,23.402303,10.709501,7.824349,-0.341284,-0.025012,0.188512
0.010000,10.665948,23.416937,10.787710,7.820934,-0.341546,-0.026217,0.187909
0.010000,10.742751,23.431516,10.865885,7.817515,-0.341820,-0.027392,0.187276
0.010000,10.819531,23.446039,10.944026,7.814094,-0.342106,-0.028555,0.186614
0.010000,10.896286,23.460504,11.022133,7.810670,-0.342402,-0.029698,0.185921
0.010000,10.973018,23.474909,11.100205,7.807243,-0.342710,-0.030774,0.185199
0.010000,11.049727,23.489250,11.178244,7.803813,-0.343029,-0.031854,0.184447
0.010000,11.126414,23.503526,11.256247,7.800379,-0.343358,-0.032902,0.183665
0.010000,11.203077,23.517735,11.334217,7.796942,-0.343696,-0.033867,0.182853
0.010000,11.279719,23.531875,11.412152,7.793502,-0.344045,-0.034888,0.182011
0.010000,11.356339,23.545942,11.490052,7.790058,-0.344403,-0.035758,0.181138
0.010000,11.432937,23.559935,11.567919,7.786610,-0.344770,-0.036706,0.180236
0.010000,11.509515,23.573852,11.645750,7.783159,-0.345145,-0.037518,0.179304
0.010000,11.586071,23.587690,11.723547,7.779703,-0.345529,-0.038336,0.178341
0.010000,11.662607,23.601447,11.801310,7.776244,-0.345920,-0.039122,0.177348
0.010000,11.739123,23.615121,11.879037,7.772781,-0.346318,-0.039822,0.176325
0.010000,11.815618,23.628709,11.956731,7.769314,-0.346723,-0.040486,0.175272
0.010000,11.892094,23.642209,12.034389,7.765842,-0.347134,-0.041147,0.174188
0.010000,11.968551,23.655620,12.112013,7.762367,-0.347551,-0.041704,0.173075
0.010000,12.044988,23.668938,12.189601,7.758887,-0.347974,-0.042229,0.171930
0.010000,12.121406,23.682162,12.267156,7.755403,-0.348401,-0.042701,0.170756
0.010000,12.197806,23.695288,12.344675,7.751915,-0.348832,-0.043118,0.169550
0.010000,12.274187,23.708316,12.422159,7.748422,-0.349267,-0.043477,0.168315
0.010000,12.350550,23.721242,12.499608,7.744925,-0.349704,-0.043779,0.167049
0.010000,12.426895,23.734065,12.577022,7.741424,-0.350145,-0.044019,0.165752
0.010000,12.503222,23.746782,12.654402,7.737918,-0.350587,-0.044197,0.164425
0.010000,12.579532,23.759390,12.731746,7.734408,-0.351029,-0.044290,0.163067
0.010000,12.655824,23.771888,12.809055,7.730893,-0.351473,-0.044368,0.161678
0.010000,12.732098,23.784273,12.886328,7.727374,-0.351917,-0.044346,0.160259
0.010000,12.808356,23.796543,12.963567,7.723850,-0.352359,-0.044217,0.158809
0.010000,12.884597,23.808696,13.040770,7.720322,-0.352800,-0.044096,0.157328
0.010000,12.960821,23.820730,13.117938,7.716790,-0.353238,-0.043837,0.155817
0.010000,13.037028,23.832641,13.195070,7.713253,-0.353673,-0.043530,0.154274
0.010000,13.113219,23.844428,13.272168,7.709712,-0.354105,-0.043129,0.152701
0.010000,13.189393,23.856089,13.349229,7.706167,-0.354532,-0.042689,0.151096
0.010000,13.265551,23.867621,13.426255,7.702617,-0.354952,-0.042087,0.149461
0.010000,13.341693,23.879022,13.503246,7.699063,-0.355367,-0.041488,0.147795
0.010000,13.417818,23.890290,13.580201,7.695506,-0.355775,-0.040762,0.146097
0.010000,13.493928,23.901422,13.657121,7.691944,-0.356174,-0.039941,0.144369
0.010000,13.570022,23.912416,13.734004,7.688378,-0.356565,-0.039042,0.142609
0.010000,13.646099,23.923271,13.810852,7.684809,-0.356945,-0.038050,0.140818
0.010000,13.722161,23.933983,13.887665,7.681236,-0.357315,-0.036964,0.138997
0.010000,13.798207,23.944550,13.964441,7.677659,-0.357673,-0.035782,0.137143
0.010000,13.874237,23.954970,14.041182,7.674079,-0.358018,-0.034501,0.135259
